Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
3:10,2,,,2p made,,,,,assist,,,,4
2:31,,2,,,,,,,,,,,4
,,,,turnover,3p attempt,rebound,,,,,,,4
1:50,2,,,,2p made,,,,,,,,4
,,,rebound,2p attempt,,,,,,,,,4
1:06,2,,,,,2p made,,,,,,,4
,,,,,,2p attempt,,,3p attempt,,,,4
Q4,,,,,,,,,,,,,4
8:00,,,In,In,In,In,,,In,,,,4
,,,,,,rebound,,,rebound,,,,4
7:30,3,,,3p made,,assist,,,,,,,4
6:30,,3,,,,,,,,,,,4
,,,,,3p attempt,,,,,,,,4
6:11,,3,,,,,,,,,,,4
,,,,,3p attempt,,,,,,,,4
5:12,,2,,,,,,,,,,,4
,,,2p attempt,,,,,,,,,,4
5:01,2,,,2p made,,,,,,,,,4
,,,steal,rebound,turnover,2p attempt,,,,,,,4
,,,3p attempt,rebound,,2p attempt,,,,,,,4
,,,rebound,,,,,,,,,,4
,,,3p attempt,,,,,,,,,,4
3:33,,2,,,,,,,,,,,4
,,,rebound,,2p attempt,turnover,,,2p attempt,,,,4
,,,,,,,,,rebound,,,,4
,,,,,,,,,2p attempt,,,,4
2:15,,3,,,,,,,,,,,4
2:00,2,,,assist,,,,,2p made,,,,4
1:45,,2,,,,,,,,,,,4
,,,,,,,,,3p attempt,,,,4
1:33,1,,,,,2 ft,,,,,,,4
,,,,,3p attempt,,,,rebound,,,,4
,,,,,3p attempt,,,,,,,,4
1:25,2,,,,,2p made,,,,,,,4
1:02,2,,,2 ft,,,,,,,,,4
,,,,,3p attempt,,,,,,,,4
0:43,,1,,,,,,,,,,,4
,,,,,,turnover,,,,,,,4
0:41,,2,,,,,,,,,,,4
0:40,,,,,,Out,,,,In,,,4
,,,,3p attempt,,,,,,,,,4
0:29,,1,,,,,,,,,,,4
0:28,,,Out,,Out,,,In,,,In,,4
0:23,3,,,assist,,,,,,,3p made,,4
,,,,steal,,,,,,,,,4
0:15,1,,,2 ft,,,,,,,,,4
0:13,,1,,,,,,,,rebound,,,4
,,,,,,,,,,3p attempt,,,4
Lisbon,,,,,,,,,,,,,
Q1,,,,,,,,,,,,,5
8:00,,,In,In,In,In,,,In,,,,5
,,,,steal,2p attempt,,,,,,,,5
,,,,rebound,,,,,,,,,5
,,,,2p attempt,,,,,,,,,5
7:17,2,,,assist,2p made,,,,,,,,5
,,,,rebound,3p attempt,rebound,,,2p attempt,,,,5
,,,,2p attempt,,,,,,,,,5
5:26,,2,,,,,,,,,,,5
,,,turnover,,,,,,,,,,5
5:05,,2,,,,,,,,,,,5
,,,,rebound,3p attempt,turnover,,,2p attempt,,,,5
3:39,,2,,,,,,,,,,,5
,,,,3p attempt,,,,,,,,,5
3:32,,2,,,,,,,,,,,5
3:12,2,,,,2p made,,,,,,,,5
3:11,1,,,,1 ft,,,,,,,,5
,,,,rebound,rebound,,,,2p attempt,,,,5
,,,,,2p attempt,,,,,,,,5
,,,,,rebound,,,,,,,,5
1:38,2,,,2p made,,,,,,,,,5
,,,,2p attempt,,rebound,,,,,,,5
,,,,rebound,,,,,,,,,5
1:01,,,,2p made,,,,,,,,,5
0:50,,2,,,,,,,,,,,5
,,,,turnover,3p attempt,,,,3p attempt,,,,5
Q2,,,,,,,,,,,,,5
8:00,,,In,In,In,In,,,In,,,,5
,,,,rebound,,,,,turnover,,,,5
,,,,turnover,,,,,,,,,5
6:40,,2,,,,,,,,,,,5
,,,steal,,,,,,turnover,,,,5
5:46,3,,,,3p made,,,,,,,,5
5:21,,2,,,,,,,,,,,5
,,,,,2p attempt,,,,,,,,5
